PT;X;Y;Z;axe;PM;H;V
C.540GV3.3;823257.010000;1091518.970000;-123.530000;GVA3;207.677186;2.653761;-0.064040
C.541GV3.3;823251.280000;1091521.570000;-123.690000;GVA3;203.582849;-2.124241;-0.183082
105GV3.2D;823268.020000;1091524.260000;-123.450000;GVA3;219.891285;2.512417;-0.106222
105GV3.2G;823265.880000;1091528.850000;-123.440000;GVA3;219.891603;-2.551939;-0.096226
