source_file,sheet,month,metric,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Convergences,2025-07,BG,-2.0580773403491293,-9.943122429812767,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Convergences,2025-07,HG,-1.228834245081245,-43.22757218024886,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Convergences,2025-07,HD,-1.5565702007909152,-43.72150288157694,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Convergences,2025-07,BD,-2.04843840617297,-11.691191345624574,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Convergences,2025-07,LH,0.10440457337690745,-23.30264306577945,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Convergences,2025-07,LB,-1.0406864665366555,-6.0396799867072914,False
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Convergences,2025-07,IG,,,
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Convergences,2025-07,ID,,,
C:\Temp\1-tableaux\GHA\04_301-GVA_SMC_C105_C106_25_07_23.xlsm,Convergences,2025-07,LI,,,
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Convergences,2025-07,BG,-1.3738671242693457,-5.902416295500146,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Convergences,2025-07,HG,-0.8886824183398332,-36.36987887665466,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Convergences,2025-07,HD,-0.875940957362431,-31.199579559992863,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Convergences,2025-07,BD,,0.2353811346171852,True
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Convergences,2025-07,LH,-0.6862595314141053,-28.65887841320625,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Convergences,2025-07,LB,,-2.8666213211892,True
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Convergences,2025-07,IG,-1.1163318631712826,-51.22115600461008,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Convergences,2025-07,ID,-1.8225930101438692,-55.368209109654565,False
C:\Temp\1-tableaux\GHA\04_302-GHA_SMC_C04_C05_25_07_23.xlsm,Convergences,2025-07,LI,-0.9613410246709364,-35.82889456424354,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Convergences,2025-07,BG,-1.800881542170174,-17.343636832722886,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Convergences,2025-07,HG,-0.4903754181935227,-36.07069549558872,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Convergences,2025-07,HD,-1.0517549344299937,-36.37657262367932,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Convergences,2025-07,BD,-2.1252668005207194,-6.059217855129084,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Convergences,2025-07,LH,-1.0322508833846555,-29.779300131674624,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Convergences,2025-07,LB,-1.510851247456202,0.0722233470522581,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Convergences,2025-07,IG,-1.2481730266786784,-50.015019357393165,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Convergences,2025-07,ID,-1.6311574616851772,-77.63119892498426,False
C:\Temp\1-tableaux\GHA\04_303-GHA_SMC_T15_25_07_23.xlsm,Convergences,2025-07,LI,-1.4179417195752109,-58.61198489476749,False
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Convergences,2025-07,BG,,0.0,True
C:\Temp\1-tableaux\GHA\04_304-GHA_SMC_T28_25_07-25.xlsm,Convergences,2025-07,HG,0.0918415963613306,-9.178434238703126,False
