source_file,sheet,month,measure_label,col_index,col_letter,periodic_mm,cumulative_mm,cumulative_outside_month
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DPM bas gauche,3,C,,0.0,True
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DH bas gauche,4,D,,0.0,True
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DZ bas gauche,5,E,,0.0,True
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DPM inter gauche,6,F,-0.33101263358048527,-1.8561083026611414,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DH inter gauche,7,G,4.259158625304238,15.574815072672443,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DZ inter gauche,8,H,0.19999999999242846,-7.999999999995566,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DPM haut gauche,9,I,1.1995747914284038,-0.1691752530845747,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DH haut gauche,10,J,1.3317356829865012,10.182527999898827,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DZ haut gauche,11,K,1.0499999999922238,-9.25000000000864,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DPM centre haut,12,L,-0.01783352494300061,14.126185427780769,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DH centre haut,13,M,0.9847241965163782,6.145802039193709,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DZ centre haut,14,N,-2.899999999996794,-56.100000000000705,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DPM haut droit,15,O,0.833510616121913,0.19055017829572307,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DH haut droit,16,P,-0.6043676997342651,-9.400196341063705,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DZ haut droit,17,Q,0.999999999990564,-5.60000000000116,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DPM inter droit,18,R,0.8696653287181277,-1.1994466507943002,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DH inter droit,19,S,-0.918521838616293,-11.151740971270918,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DZ inter droit,20,T,1.0999999999938836,-4.099999999993997,False
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DPM bas droit,21,U,,0.0,True
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DH bas droit,22,V,,0.0,True
C:\Temp\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_07_29.xlsm,Déplacements,2025-07,DZ bas droit,23,W,,0.0,True
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DPM bas gauche,3,C,,0.0,True
C:\Temp\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_07_29.xlsm,Déplacements,2025-07,DH bas gauche,4,D,,0.0,True
