source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DZ haut gauche,-0.2,-4.5,2025-09-30,2025-08-25,2025-09-30,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DPM centre haut,-1.73,-12.8,2025-09-30,2025-08-25,2025-09-30,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DH centre haut,2.06,-15.02,2025-09-30,2025-08-25,2025-09-30,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DZ centre haut,-2.0,-23.85,2025-09-30,2025-08-25,2025-09-30,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DPM haut droit,,-3.13,,2025-02-24,2025-02-24,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DH haut droit,,-5.82,,2025-02-24,2025-02-24,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DZ haut droit,,-7.18,,2025-02-24,2025-02-24,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DPM bas droit,-0.5,-3.11,2025-09-30,2025-08-25,2025-09-30,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DH bas droit,-0.34,-13.81,2025-09-30,2025-08-25,2025-09-30,4,49
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_105-GGS_SMC_C007_PM005_25_09_30.xlsm,Déplacements,GGS,C007,2025-09,DZ bas droit,0.4,-7.8,2025-09-30,2025-08-25,2025-09-30,4,49
