10000;823100.767;1091490.829;-122.502
10001;823101.001;1091490.328;-122.038
10010;823100.767;1091490.829;-122.894
10011;823101.200;1091489.900;-122.034
10020;823100.767;1091490.829;-123.285
10021;823101.399;1091489.472;-122.029
10030;823100.767;1091490.829;-123.677
10031;823101.599;1091489.044;-122.024
10040;823100.767;1091490.829;-124.069
10041;823101.799;1091488.616;-122.020
10050;823100.767;1091490.829;-124.460
10051;823101.998;1091488.188;-122.015
10060;823100.767;1091490.829;-124.852
10061;823102.198;1091487.759;-122.010
10070;823100.811;1091490.735;-125.156
10071;823102.398;1091487.331;-122.005
10080;823101.010;1091490.307;-125.152
10081;823102.598;1091486.903;-122.001
10090;823101.210;1091489.879;-125.147
10091;823102.797;1091486.475;-121.996
10100;823101.410;1091489.450;-125.142
10101;823102.997;1091486.047;-121.991
10110;823101.609;1091489.023;-125.137
10111;823103.196;1091485.619;-121.987
10120;823101.809;1091488.595;-125.133
10121;823103.396;1091485.191;-121.982
10130;823102.008;1091488.166;-125.128
10131;823103.595;1091484.763;-121.977
10140;823102.208;1091487.738;-125.123
10141;823103.795;1091484.334;-121.973
10150;823102.407;1091487.311;-125.119
10151;823103.995;1091483.907;-121.968
10160;823102.607;1091486.882;-125.114
10161;823104.194;1091483.479;-121.963
10170;823102.807;1091486.454;-125.109
10171;823104.394;1091483.050;-121.959
10180;823103.006;1091486.026;-125.105
10181;823104.594;1091482.622;-121.954
10190;823103.206;1091485.598;-125.100
10191;823104.793;1091482.195;-121.949
10200;823103.406;1091485.170;-125.095
10201;823104.993;1091481.766;-121.945
10210;823103.605;1091484.742;-125.091
10211;823104.993;1091481.766;-122.336
10220;823103.805;1091484.313;-125.086
10221;823104.993;1091481.766;-122.728
10230;823104.005;1091483.886;-125.081
10231;823104.993;1091481.766;-123.119
10240;823104.204;1091483.457;-125.077
10241;823104.993;1091481.766;-123.511
10250;823104.404;1091483.029;-125.072
10251;823104.993;1091481.766;-123.903
10260;823104.603;1091482.601;-125.067
10261;823104.993;1091481.766;-124.294
10270;823104.803;1091482.173;-125.063
10271;823104.993;1091481.766;-124.686
20000;823100.767;1091490.829;-121.465
20001;823100.870;1091490.608;-121.041
20010;823100.772;1091490.818;-122.044
20011;823101.017;1091490.291;-121.038
20020;823100.919;1091490.503;-122.040
20021;823101.165;1091489.976;-121.034
20030;823101.066;1091490.186;-122.037
20031;823101.312;1091489.660;-121.031
20040;823101.214;1091489.871;-122.033
20041;823101.459;1091489.344;-121.028
20050;823101.361;1091489.555;-122.030
20051;823101.606;1091489.029;-121.024
20060;823101.508;1091489.239;-122.026
20061;823101.754;1091488.713;-121.021
20070;823101.655;1091488.924;-122.023
20071;823101.901;1091488.397;-121.017
20080;823101.803;1091488.608;-122.019
20081;823102.048;1091488.081;-121.014
20090;823101.950;1091488.292;-122.016
20091;823102.195;1091487.766;-121.010
20100;823102.097;1091487.976;-122.013
20101;823102.342;1091487.450;-121.007
20110;823102.244;1091487.660;-122.009
20111;823102.490;1091487.134;-121.003
20120;823102.392;1091487.344;-122.006
20121;823102.637;1091486.819;-121.000
20130;823102.539;1091487.029;-122.002
20131;823102.784;1091486.502;-120.996
20140;823102.686;1091486.713;-121.999
20141;823102.931;1091486.187;-120.993
20150;823102.833;1091486.397;-121.995
20151;823103.079;1091485.871;-120.989
20160;823102.981;1091486.082;-121.992
20161;823103.226;1091485.555;-120.986
20170;823103.128;1091485.765;-121.988
20171;823103.373;1091485.240;-120.983
20180;823103.275;1091485.450;-121.985
20181;823103.521;1091484.923;-120.979
20190;823103.422;1091485.135;-121.981
20191;823103.668;1091484.608;-120.976
20200;823103.570;1091484.818;-121.978
20201;823103.815;1091484.293;-120.972
20210;823103.717;1091484.503;-121.975
20211;823103.962;1091483.976;-120.969
20220;823103.864;1091484.187;-121.971
20221;823104.109;1091483.661;-120.965
20230;823104.011;1091483.871;-121.968
20231;823104.257;1091483.345;-120.962
20240;823104.158;1091483.556;-121.964
20241;823104.404;1091483.029;-120.958
20250;823104.306;1091483.240;-121.961
20251;823104.551;1091482.714;-120.955
20260;823104.453;1091482.924;-121.957
20261;823104.698;1091482.398;-120.951
20270;823104.600;1091482.608;-121.954
20271;823104.846;1091482.082;-120.948
20280;823104.747;1091482.292;-121.950
20281;823104.993;1091481.766;-120.945
20290;823104.895;1091481.977;-121.947
20291;823104.993;1091481.766;-121.545
