source_file;sheet;galerie;section;month;metric;periodic_mm;cumulative_mm;date_last_in_month;date_last_before_month;date_last_cumulative;nb_dates_in_month;nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;DH centre haut;0.02;3.41;08/09/2025;18/06/2025;08/09/2025;1;40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;DZ centre haut;-0.2;-37.5;08/09/2025;18/06/2025;08/09/2025;1;40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;DPM haut droit;-0.06;-0.72;08/09/2025;18/06/2025;08/09/2025;1;40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;DH haut droit;-0.58;-10.05;08/09/2025;18/06/2025;08/09/2025;1;40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;DZ haut droit;0.1;-6.1;08/09/2025;18/06/2025;08/09/2025;1;40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;DPM bas droit;0.98;-0.17;08/09/2025;18/06/2025;08/09/2025;1;40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;DH bas droit;-0.21;-9.57;08/09/2025;18/06/2025;08/09/2025;1;40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;DZ bas droit;0.6;-0.2;08/09/2025;18/06/2025;08/09/2025;1;40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;DZ centre haut x2;;;;;;;
"(interpolé)""";-0.4;-75;08/09/2025;18/06/2025;08/09/2025;1;40;;;;;
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GER\01_47-B-GER-SMC1-T163-PM_162_6-25-09-08.xlsm;Déplacements;GER;T163;2025-09;VITESSE EVOL DZ;;;;;;1;40
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250902-rapport mensuel septembre\1-tableaux\GGS\03_101-GVA_SMC_C001_PM001_25_09_10.xlsm;Déplacements;GVA;C001;2025-09;DGRD6+ bas gauche;1.19;2.41;10/09/2025;17/06/2025;10/09/2025;1;37
