Cible;X;Y;Z
Point bas gauche;823244.3336499999;1091518.77315;-124.5444
Point intermédiaire gauche;823244.24315;1091518.7651499999;-123.6157
Point haut gauche;#N/A;#N/A;#N/A
Point centre haut;823245.5081;1091516.0651;-121.2924
Point haut droit;#N/A;#N/A;#N/A
Point intermédiaire droit;#N/A;#N/A;#N/A
Point bas droit;823246.4627;1091514.1933;-124.5811
