Cible;X;Y;Z
Point bas gauche;823233.377;1091513.5546;-124.581
Point intermédiaire gauche;823233.2509;1091513.7572;-123.4159
Point haut gauche;#N/A;#N/A;#N/A
Point centre haut;823234.439;1091511.1074;-121.3303
Point haut droit;#N/A;#N/A;#N/A
Point intermédiaire droit;823235.4789;1091508.903;-123.4541
Point bas droit;823235.4057;1091509.0442;-124.6243
