Cible;X;Y;Z
Point bas gauche;823219.5485;1091508.5566;-124.9934
Point haut gauche;823219.6063;1091507.9939;-120.8736
Point centre haut;823220.8561;1091504.7848;-119.5279
Point haut droit;823222.3371;1091502.1825;-120.8715
Point intermédiaire droit;823222.7461;1091501.2824;-123.0019
Point bas droit;823222.6633;1091501.6083;-124.9177
