1.1;18644.160;97030.990
2.1;18633.690;97064.510
3.1;18623.530;97097.550
4.1;18613.120;97131.390
5.1;18602.980;97164.540
6.1;18592.560;97198.120
7.1;18659.100;97072.240
8.1;18648.630;97105.570
9.1;18638.210;97138.960
10.1;18627.750;97172.410
11.1;18679.480;97116.840
12.1;18670.340;97148.430
13.1;18659.330;97183.100
901.1;18526.410;97156.980
902.1;18525.180;97159.050
1.2;18636.160;97041.990
2.2;18629.690;97070.510
3.2;18614.530;97111.550
4.2;18597.120;97150.390
5.2;18591.980;97185.540
6.2;18586.560;97208.120
7.2;18660.100;97079.240
8.2;18635.630;97126.570
9.2;18634.210;97153.960
10.2;18629.750;97196.410
11.2;18676.480;97135.840
12.2;18688.340;97168.430
13.2;18669.330;97214.100
901.2;18546.410;97079.980
902.2;18543.180;97079.050
