823016.598174;1091405.088606;-119.713054
823016.612790;1091405.198219;-120.216654
823016.583673;1091405.089229;-119.662621
823016.639179;1091405.328123;-120.554686
823016.572507;1091405.109099;-119.755209
823016.591337;1091405.188866;-120.192418
823016.619454;1091405.305638;-120.410333
823016.571535;1091405.161480;-120.116695
823016.599483;1091405.288600;-120.352380
823016.551615;1091405.140577;-120.053832
823016.535129;1091405.084327;-119.553942
823016.611607;1091405.400203;-120.756464
823016.539103;1091405.129996;-119.947097
823016.534134;1091405.124245;-119.615074
823016.556665;1091405.245272;-120.230729
823016.592216;1091405.390707;-120.696693
823016.588058;1091405.381093;-120.556463
823016.503080;1091405.093248;-119.474366
823016.528409;1091405.216906;-120.158732
823016.560409;1091405.370374;-120.407011
823016.549421;1091405.341407;-120.335493
823016.498927;1091405.190815;-120.090337
823016.572981;1091405.460826;-120.813873
823016.462922;1091405.084586;-119.316078
823016.483084;1091405.175036;-119.715558
823016.476610;1091405.168719;-119.914307
823016.550078;1091405.438572;-120.736170
823016.473239;1091405.168925;-119.614828
823016.537890;1091405.422554;-120.617511
823016.433516;1091405.068028;-119.210398
823016.447646;1091405.135635;-119.516747
823016.428069;1091405.084340;-119.057566
823016.473871;1091405.245072;-120.132860
823016.519492;1091405.406815;-120.410714
823016.436506;1091405.125384;-119.354065
823016.451096;1091405.192926;-120.042730
823016.570760;1091405.619571;-120.862266
823016.412953;1091405.100790;-119.055891
823016.409977;1091405.095791;-119.257736
823016.413526;1091405.126199;-118.923445
823016.402330;1091405.092460;-119.126333
823016.401814;1091405.090538;-119.197913
823016.474883;1091405.364822;-120.311267
823016.430514;1091405.216959;-120.058048
823016.499202;1091405.469309;-120.786374
823016.413125;1091405.196796;-119.696020
823016.413132;1091405.207775;-119.816017
823016.403278;1091405.192613;-118.827275
823016.395526;1091405.186876;-119.589846
823016.391161;1091405.177879;-119.455431
823016.470906;1091405.456731;-120.656868
823016.472065;1091405.481581;-120.557020
823016.370908;1091405.160076;-118.957091
823016.542091;1091405.731875;-120.888072
823016.410987;1091405.303174;-120.169581
823016.360454;1091405.146826;-119.056287
823016.439086;1091405.428229;-120.349463
823016.471639;1091405.560825;-120.812002
823016.358794;1091405.205766;-119.555603
823016.376495;1091405.284297;-120.114766
823016.360463;1091405.250139;-118.743700
823016.353042;1091405.244562;-120.014542
823016.348232;1091405.236458;-118.813481
823016.433127;1091405.524105;-120.755803
823016.340763;1091405.231207;-119.913774
823016.381563;1091405.368094;-120.207274
823016.334412;1091405.226877;-119.714194
823016.329833;1091405.217861;-119.456130
823016.420800;1091405.509243;-120.611675
823016.418282;1091405.506392;-120.457201
823016.506545;1091405.794765;-120.892164
823016.319729;1091405.207166;-118.997580
823016.498095;1091405.786114;-120.887929
823016.453089;1091405.646641;-120.828337
823016.350891;1091405.333818;-118.516704
823016.322909;1091405.252405;-119.813568
823016.299605;1091405.189548;-119.294790
823016.346749;1091405.338049;-120.139384
823016.331205;1091405.321856;-118.597480
823016.348687;1091405.392494;-118.360555
823016.318755;1091405.307795;-118.717608
823016.314983;1091405.303585;-120.074891
823016.352343;1091405.440094;-120.235657
823016.397436;1091405.584555;-120.789616
823016.298165;1091405.291322;-120.066959
823016.281609;1091405.250670;-119.707935
823016.278990;1091405.248007;-119.509996
823016.432836;1091405.722408;-120.849818
823016.284496;1091405.274391;-119.914997
823016.374890;1091405.561909;-120.716642
823016.323083;1091405.416082;-118.309815
823016.373416;1091405.567252;-120.513681
823016.271762;1091405.261950;-118.955456
823016.368307;1091405.556464;-120.418503
823016.268165;1091405.254683;-119.654800
823016.368226;1091405.560315;-120.655969
823016.255347;1091405.245877;-119.415562
823016.250368;1091405.235808;-119.335769
823016.441641;1091405.825409;-120.886685
823016.294144;1091405.385483;-118.456524
823016.341345;1091405.530409;-120.350229
823016.274426;1091405.364003;-118.753630
823016.234911;1091405.243920;-119.255435
823016.275572;1091405.365056;-120.111341
823016.375131;1091405.663939;-120.809081
823016.248142;1091405.292623;-119.855608
823016.311605;1091405.501585;-120.274596
823016.248592;1091405.339398;-118.815892
823016.247365;1091405.333652;-120.035495
823016.264913;1091405.397727;-118.718719
823016.230653;1091405.314804;-118.913075
823016.227650;1091405.305064;-119.415833
823016.230070;1091405.316038;-119.958142
823016.334334;1091405.627671;-120.752543
823016.270485;1091405.457161;-118.255862
823016.322643;1091405.611686;-120.463759
823016.211509;1091405.296511;-119.055891
823016.317691;1091405.605771;-120.616805
823016.211232;1091405.299778;-119.496624
823016.213710;1091405.306484;-119.815361
823016.208426;1091405.296060;-119.636648
823016.202693;1091405.293632;-119.669497
823016.197339;1091405.287527;-119.692380
823016.299886;1091405.589973;-120.409450
823016.306554;1091405.617779;-117.989287
823016.241023;1091405.426350;-118.402062
823016.191316;1091405.280268;-119.256666
823016.191197;1091405.279772;-119.355927
823016.194603;1091405.289526;-119.462914
823016.398153;1091405.887951;-120.890529
823016.408474;1091405.917931;-120.903497
823016.309096;1091405.660411;-117.952145
823016.203859;1091405.354763;-119.119547
823016.274035;1091405.563471;-118.059569
823016.273517;1091405.562796;-120.316036
823016.211461;1091405.408899;-119.235157
823016.209927;1091405.403027;-120.078861
823016.249550;1091405.537624;-118.114654
823016.165350;1091405.295337;-119.315311
823016.189936;1091405.370968;-118.804148
823016.245792;1091405.536847;-120.239502
823016.232606;1091405.511426;-118.206743
823016.181939;1091405.365941;-119.243268
823016.189056;1091405.391501;-118.770117
823016.177207;1091405.365003;-120.009977
823016.315463;1091405.764325;-117.837160
823016.275363;1091405.663507;-117.960422
823016.331780;1091405.822148;-120.852416
823016.164944;1091405.359607;-119.021021
823016.162605;1091405.351525;-119.903446
823016.270167;1091405.657634;-120.556806
823016.156585;1091405.345307;-118.936476
823016.213169;1091405.502332;-120.173903
823016.201639;1091405.481872;-118.278709
823016.150738;1091405.337179;-119.556092
823016.264616;1091405.654753;-120.616249
823016.322636;1091405.834222;-117.780983
823016.255076;1091405.645507;-120.414284
823016.138347;1091405.325578;-119.452427
823016.140603;1091405.331368;-119.755284
823016.243289;1091405.637658;-118.026572
823016.287712;1091405.760956;-120.801123
823016.180227;1091405.470782;-118.360369
823016.235553;1091405.625452;-120.353936
823016.172768;1091405.465062;-120.113175
823016.310559;1091405.861504;-117.763962
823016.271745;1091405.762656;-117.859384
823016.206914;1091405.596778;-118.087200
823016.132790;1091405.423067;-119.155648
823016.130061;1091405.420442;-118.914772
823016.129775;1091405.419433;-119.055095
823016.238970;1091405.726322;-117.921899
823016.176313;1091405.568543;-118.161172
823016.176620;1091405.566334;-120.211168
823016.235817;1091405.725629;-120.751040
823016.116229;1091405.407566;-119.974092
823016.093179;1091405.355172;-119.317613
823016.127315;1091405.452720;-118.610258
823016.158323;1091405.545345;-118.240276
823016.101357;1091405.389431;-119.954809
823016.276061;1091405.866909;-117.760350
823016.210126;1091405.701532;-117.993697
823016.091521;1091405.381234;-119.556766
823016.210673;1091405.699157;-120.556307
823016.086728;1091405.372579;-119.656062
823016.149779;1091405.540729;-120.138685
823016.199020;1091405.688677;-120.393279
823016.134556;1091405.528165;-118.316603
823016.314364;1091406.006982;-120.909825
823016.116122;1091405.502034;-120.070582
823016.109268;1091405.494715;-118.494580
823016.252282;1091405.880765;-120.838739
823016.263218;1091405.921935;-117.622318
823016.098194;1091405.490856;-118.525425
823016.074581;1091405.430921;-119.949111
823016.280055;1091405.969059;-120.886650
823016.075920;1091405.448924;-118.857925
823016.053242;1091405.401202;-119.655788
823016.136156;1091405.628067;-118.121113
823016.069480;1091405.453457;-118.757859
823016.069934;1091405.454291;-119.016409
823016.063680;1091405.454700;-119.155558
823016.063247;1091405.453254;-119.360110
823016.179860;1091405.765669;-120.716932
823016.114617;1091405.601738;-120.174810
823016.049613;1091405.439226;-119.233009
823016.049435;1091405.442718;-119.433983
823016.226108;1091405.912547;-117.715441
823016.165226;1091405.755482;-117.949533
823016.036186;1091405.425253;-119.517548
823016.159038;1091405.747414;-120.613810
823016.151731;1091405.740679;-120.457624
823016.150126;1091405.740300;-120.537002
823016.026524;1091405.429375;-119.848574
823016.233942;1091405.961596;-120.870315
823016.223809;1091405.944147;-117.520563
823016.131489;1091405.719910;-118.014519
823016.029211;1091405.479507;-118.616090
823016.051929;1091405.541375;-118.417243
823016.174421;1091405.867155;-117.802007
823016.028268;1091405.497706;-118.594732
823016.111274;1091405.704519;-120.276905
823016.232161;1091406.022687;-120.894506
823016.051366;1091405.580377;-118.316686
823016.020574;1091405.504899;-119.968212
823016.009036;1091405.497559;-119.194201
823016.077774;1091405.667455;-120.213868
823016.066800;1091405.654674;-118.150246
823016.001503;1091405.490676;-119.414841
823016.001584;1091405.490072;-119.923419
823016.175505;1091405.921129;-120.831168
823015.999390;1091405.489681;-119.257537
823015.991716;1091405.491247;-118.990476
823015.985248;1091405.474535;-119.513496
823016.051738;1091405.641924;-120.137422
823015.980412;1091405.470329;-119.710934
823016.171274;1091405.947926;-117.537631
823015.986999;1091405.492046;-118.710820
823016.113168;1091405.804072;-120.675721
823016.098783;1091405.787569;-117.921424
823016.098244;1091405.786517;-120.455253
823016.098678;1091405.787296;-120.595120
823015.974001;1091405.488138;-118.798850
823016.030435;1091405.634913;-118.211040
823016.021673;1091405.610964;-120.068939
823016.016230;1091405.607916;-118.297715
823016.080736;1091405.770134;-120.348612
823016.067729;1091405.756624;-118.014139
823015.974019;1091405.528320;-118.558010
823016.161761;1091405.989210;-117.365631
823016.132026;1091405.941912;-117.615751
823015.978626;1091405.568862;-120.012362
823016.110870;1091405.894341;-117.806816
823015.960034;1091405.544844;-119.153437
823016.028361;1091405.713959;-118.111907
823015.956831;1091405.544824;-119.236526
823016.174234;1091406.063503;-120.888584
823015.951463;1091405.540026;-119.055967
823015.947918;1091405.534966;-119.415824
823015.949281;1091405.542251;-119.315482
823016.017944;1091405.705015;-120.171740
823015.933795;1091405.525669;-118.614666
823015.930941;1091405.518628;-118.856427
823015.931900;1091405.520803;-118.916217
823015.933267;1091405.522978;-119.715589
823016.132173;1091406.002286;-117.356608
823015.930109;1091405.520697;-118.715789
823015.929223;1091405.517534;-119.516272
823015.990399;1091405.679686;-118.173908
823016.133559;1091406.021804;-120.856805
823016.051499;1091405.839035;-120.616073
823016.046960;1091405.835805;-120.457368
823016.088793;1091405.937220;-120.801668
823016.044590;1091405.837256;-120.555190
823016.039048;1091405.828199;-120.354809
823016.124902;1091406.036847;-117.271518
823016.101853;1091405.989597;-117.429565
823015.951307;1091405.640012;-118.333437
823015.951859;1091405.639092;-120.035943
823016.010176;1091405.796252;-117.992945
823016.010247;1091405.800669;-120.256995
823015.976183;1091405.727880;-118.122286
823015.929846;1091405.619916;-118.414736
823015.926724;1091405.621900;-119.963374
823015.911494;1091405.602828;-119.156622
823015.908523;1091405.595038;-119.817024
823015.909557;1091405.601867;-119.322171
823015.901740;1091405.590659;-119.789614
823015.900033;1091405.591196;-119.303498
823015.897849;1091405.585502;-119.757600
823016.073933;1091406.000195;-117.435479
823015.973113;1091405.768021;-118.061869
823015.893248;1091405.583392;-119.056321
823015.873671;1091405.546447;-118.655389
823016.047498;1091405.942122;-120.737566
823016.039433;1091405.931118;-117.706865
823015.880714;1091405.569074;-119.515233
823015.884810;1091405.578267;-119.656148
823016.027665;1091405.910979;-117.803653
823015.956569;1091405.745459;-120.131732
823015.871974;1091405.565067;-118.754970
823015.902639;1091405.640874;-119.939237
823015.872874;1091405.586039;-118.557979
823016.013954;1091405.903632;-120.672747
823016.050259;1091405.993460;-117.496663
823015.871351;1091405.597461;-118.536218
823015.925164;1091405.717344;-120.059193
823015.999527;1091405.885018;-120.498898
823015.999790;1091405.888889;-120.611115
823015.912866;1091405.706267;-118.216670
823015.963165;1091405.830562;-117.925671
823015.981129;1091405.868028;-120.315945
823015.977243;1091405.869262;-117.861424
823015.894250;1091405.680181;-119.995495
823016.055655;1091406.049182;-117.301532
823016.034291;1091406.001079;-117.517328
823016.050667;1091406.040296;-120.839289
823015.879532;1091405.685454;-118.315719
823015.859695;1091405.647602;-119.114351
823015.851527;1091405.641075;-118.420296
823015.856158;1091405.649727;-119.770288
823016.051275;1091406.088608;-117.223504
823015.969160;1091405.912892;-117.810570
823015.840995;1091405.627953;-119.046942
823016.010917;1091406.001538;-120.776854
823015.843868;1091405.637141;-119.656120
823015.855325;1091405.662234;-119.815311
823015.899551;1091405.763192;-120.089254
823015.836024;1091405.627210;-119.518166
823016.001570;1091405.990854;-120.748987
823015.829978;1091405.618204;-118.956481
823015.828255;1091405.618125;-118.856868
823015.897003;1091405.787860;-118.078863
823015.801836;1091405.589264;-118.689619
823015.799515;1091405.587803;-118.657409
823015.958018;1091405.945281;-120.632946
823015.869295;1091405.758449;-118.152575
823015.946744;1091405.940918;-120.515863
823016.022962;1091406.113169;-117.211462
823015.851894;1091405.741502;-118.216361
823015.844432;1091405.733771;-119.943248
823015.832324;1091405.723534;-118.315239
823015.919029;1091405.907978;-120.268477
823016.000667;1091406.090425;-117.264877
823015.831248;1091405.722877;-119.856772
823016.032955;1091406.161912;-120.890303
823016.044089;1091406.193329;-117.066506
823016.023563;1091406.152316;-117.147160
823015.813352;1091405.702758;-119.155895
823015.893942;1091405.883583;-117.855731
823015.806501;1091405.697927;-119.657103
823015.890569;1091405.877024;-120.197924
823015.972257;1091406.058048;-117.354977
823015.979149;1091406.068723;-120.812022
823015.799592;1091405.690601;-119.258249
823015.812521;1091405.721061;-119.756830
823015.931390;1091405.983503;-117.623513
823015.871953;1091405.856599;-117.955536
823015.791200;1091405.682828;-119.555019
823016.051270;1091406.240960;-120.934412
823015.782135;1091405.674180;-119.409100
823015.868596;1091405.857016;-120.119382
823015.952191;1091406.043913;-117.455050
823015.776451;1091405.669553;-119.014602
823015.931775;1091406.003726;-117.594342
823015.768792;1091405.656999;-118.857372
823015.772143;1091405.663968;-118.956020
823015.782091;1091405.691613;-119.306425
823015.751019;1091405.629988;-118.748301
823015.845650;1091405.834186;-118.027678
823015.836622;1091405.819545;-120.054028
823015.745437;1091405.635923;-118.616050
823015.829147;1091405.816059;-118.094929
823016.025642;1091406.236486;-117.017023
823015.906531;1091405.995444;-120.415218
823015.909386;1091406.001224;-120.555769
823015.855113;1091405.897225;-117.932577
823015.806742;1091405.795836;-118.193160
823015.993802;1091406.186677;-120.887354
823015.801058;1091405.790679;-118.202318
823015.892175;1091405.984766;-120.354420
823015.874429;1091405.953959;-117.748414
823015.791608;1091405.779153;-119.895503
823015.972841;1091406.168509;-117.162668
823015.963609;1091406.152364;-117.207111
823015.781993;1091405.772715;-119.813159
823015.950818;1091406.121697;-120.836426
823015.769997;1091405.759638;-118.316294
823015.860934;1091405.945726;-120.230128
823015.876992;1091405.994502;-117.689192
823015.757811;1091405.747084;-119.114959
823015.757679;1091405.746226;-119.611787
823015.754872;1091405.744281;-119.216112
823015.835650;1091405.925215;-117.817203
823016.028992;1091406.321885;-120.958267
823015.923710;1091406.112801;-117.311905
823015.736237;1091405.726331;-119.053824
823015.735883;1091405.725143;-119.456063
823015.823970;1091405.911499;-120.162760
823015.738570;1091405.743968;-119.554042
823015.777991;1091405.824185;-119.915282
823015.798930;1091405.866878;-120.015775
823015.714502;1091405.702190;-118.955956
823015.725974;1091405.732915;-118.411174
823015.707388;1091405.694614;-118.813929
823015.991399;1091406.281320;-116.977021
