823035.115	1091423.764	-120.187
823038.940	1091414.602	-120.107
823033.886	1091423.495	-120.242
823037.007	1091413.953	-120.345
823032.871	1091422.676	-120.278
823030.005	1091421.395	-120.310
823034.101	1091412.599	-120.256
823033.384	1091412.269	-120.267
823029.290	1091421.068	-120.368
823025.914	1091419.711	-119.810
823030.210	1091410.488	-119.951
823023.496	1091418.336	-120.237
823027.581	1091409.549	-120.170
823017.676	1091415.669	-120.074
823021.785	1091406.848	-120.120
823058.969	1091426.668	-123.061
823058.930	1091426.750	-121.132
823058.018	1091429.076	-119.712
823056.720	1091431.443	-123.013
823049.403	1091420.878	-120.154
823048.762	1091422.063	-118.237
823047.675	1091424.442	-117.528
823046.188	1091428.012	-120.730
823042.449	1091416.270	-120.482
823041.693	1091417.872	-117.148
823040.476	1091420.639	-116.011
823038.997	1091423.679	-117.164
823038.157	1091425.501	-120.529
823021.382	1091406.652	-119.695
823020.635	1091408.074	-116.953
823019.386	1091410.817	-115.761
823017.970	1091414.137	-116.958
823017.192	1091415.539	-119.708
823018.953	1091405.408	-119.635
823031.380	1091422.125	-120.005
823034.095	1091412.479	-119.882
823015.475	1091414.791	-119.663
