Cible;X;Y;Z
Point intermédiaire gauche;823220.6866;1091507.8444;-122.3427
Point centre haut;823222.2608;1091505.2528;-120.4212
Point haut droit;823222.7726;1091504.6897;-121.1087
Point intermédiaire droit;823223.1771;1091503.2012;-122.2323
