Point_Original;Angle_deg;Longueur_Developpee_m;Ecart_mm;X_original;Y_original
1;-3.985011773162274;-8.446908825960561;140.490001873;5.07818254092;-0.353766222667
2;-0.4502140266234678;-8.129218656859042;88.23397425600001;5.03807843541;-0.0395886098754
3;2.842803017463646;-7.833258543549987;135.663193646;5.07940459973;0.252228133711
4;6.394218787641928;-7.514074828531922;80.042690338;4.99875160686;0.560189110509
5;9.93020255663051;-7.196278065588367;58.2410682419;4.93321040321;0.863662963925
6;13.336126924479826;-6.890170399476909;87.7063132472;4.90185763668;1.16201403101
7;16.78501665611113;-6.580201218601624;119.342685413;4.85336358932;1.46393207904
8;20.24350615207021;-6.269369258305474;123.54276956599999;4.7601528661;1.75550019254
9;23.70325426163122;-5.958424180032937;123.61132788100001;4.64560026976;2.039590655
10;27.211696167238436;-5.6431027437876535;143.264127457;4.52955715941;2.32904517167
11;30.634391285720252;-5.335487805411576;149.979212477;4.38820736784;2.59873508933
12;34.35277232293152;-5.001298076550222;64.3050957658;4.13970452561;2.82950561655
13;37.96202336662001;-4.676916412699165;62.798912498;3.95218415909;3.08356827552
14;41.402856124791754;-4.367671352818728;77.3132538142;3.77087758915;3.32480988323
15;44.832693039554535;-4.05941454505411;108.169036522;3.58709443129;3.56620632368
16;48.174427248740706;-3.759075973477217;146.132667959;3.39843318017;3.79752815517
17;51.61015304576129;-3.4502899020504465;177.959005679;3.18450816521;4.01931229312
18;55.052926484826784;-3.140870423353003;196.513179195;2.94802314243;4.21850180222
19;58.643433865544566;-2.818173347386663;200.446612464;2.68009894628;4.39820076236
20;62.021339389687625;-2.5145838766100828;234.627276394;2.43232995042;4.57866039442
21;65.88361097820925;-2.167461975427793;163.256118574;2.08923325809;4.66695752364
22;69.1737085899938;-1.8717642462799795;238.852852985;1.8448234173;4.84982685144
23;72.6058564467065;-1.563299742462715;243.55529231699998;1.5525783174;4.95605862987
24;76.18199377263254;-1.2418941760717828;224.759006893;1.2359324148;5.02499769607
25;79.68807127412717;-0.926785240794365;215.83386649;0.924720690109;5.08239423712
26;82.8978444816324;-0.6383066725174833;286.841179814;0.647476806742;5.19666040139
27;86.77593580241405;-0.2897629719064286;194.825790117;0.289349348059;5.13668271995
28;90.16850824165115;0.015144688783842007;190.379737416;-0.0151179564991;5.14035750627
29;93.74454976022328;0.3365416444828343;178.185189795;-0.334912584906;5.11723723324
30;97.40836924910502;0.6658276507670697;142.329347685;-0.656607235371;5.04982030609
31;101.08943120693695;0.996663325029304;137.254719185;-0.978487424781;4.99226631275
32;104.60899203473467;1.3129840751036153;167.308864932;-1.29069392601;4.95186421547
33;108.00147455667926;1.6178836544715824;236.052030482;-1.60270514579;4.93218733206
34;111.45093649160928;1.9279042621542177;291.148496832;-1.91671084357;4.87809974355
35;115.00252061849416;2.2471031082418436;283.943651767;-2.21216885006;4.74346657295
36;118.48173987115509;2.5597981567213237;295.29679778;-2.50137009549;4.61045400608
37;121.88330779645977;2.865514287285934;338.559767907;-2.79336955633;4.49065150513
38;125.57293750285368;3.197119988487372;334.62823506;-3.07427357125;4.29838778985
39;129.25507400473379;3.528052237463312;308.51438167099997;-3.32745067881;4.07186019926
40;132.93207589892222;3.8585230132510207;310.955338906;-3.58339904383;3.85186998361
41;136.65029479681664;4.192698169831107;329.828381289;-3.83937252477;3.62433529794
42;140.422347915931;4.531711680418734;342.86196046400005;-4.07953585423;3.37220624319
43;144.18933798513754;4.870270149078442;337.32605470100003;-4.2877832457;3.09365991127
44;147.94981196207954;5.208242983537318;362.403570885;-4.50270608983;2.81909020228
45;151.71997523876354;5.547086644418021;323.049209588;-4.64367167683;2.49827166748
46;155.49767703029107;5.886607829792952;289.500596652;-4.76765452551;2.17297879137
47;159.22085737266423;6.221228896506647;230.646303356;-4.84367056349;1.83792045336
48;162.9171780718108;6.5534359511012585;198.707668392;-4.92155250009;1.51245219543
49;166.60121548830418;6.8845390448972505;163.96228035800002;-4.97476428938;1.18504450128
50;170.33755568198575;7.220342854072408;181.686312216;-5.05888665589;0.861318878163
51;173.86870991784377;7.537705562423043;161.743472517;-5.08250309073;0.54597038525
52;177.67204183590394;7.879530257027101;208.981178054;-5.15472343667;0.209554496407
53;181.05920496573128;8.183951755695006;171.93676538;-5.12106156681;-0.0946818752401
54;182.90177890537294;8.349553204049439;167.43908829400002;-5.11087743577;-0.25906497054
