DATE,NO,MATRICULE,X,Y,Z
2024-08-28,V1,V1.Test,823147.6488,1091710.0857,-121.5674
2024-08-28,V2,V2.Test,823147.5852,1091710.2506,-121.9302
2024-09-05,V1,V1.Test,823147.649,1091710.085,-121.569
2024-09-05,V2,V2.Test,823147.586,1091710.251,-121.931
