Repertoire;Ligne;AB;AC;AD;AE;AF;AG
03-SMC carrefour - GRD3-C52;163;08/07/2025 00:00;CH;A2203;823014.574;1091541.465;-120.997
03-SMC carrefour - GRD3-C52;164;08/07/2025 00:00;HD;A2204;823016.565;1091542.246;-122.84
03-SMC carrefour - GRD3-C52;165;08/07/2025 00:00;BD;A2205;823016.573;1091542.484;-123.944
;;;;;;;
04-SMC carrefour - GRD3-C63;142;04/12/2024 00:00;BG;S1-A.2401;823020.783;1091533.792;-123.825
04-SMC carrefour - GRD3-C63;143;04/12/2024 00:00;HG;S1-A.2402;823019.793;1091533.312;-121.452
04-SMC carrefour - GRD3-C63;144;04/12/2024 00:00;CH;S1-A.2403;823018.435;1091532.654;-120.87
04-SMC carrefour - GRD3-C63;145;04/12/2024 00:00;HD;S1-A.2404;823016.284;1091531.541;-122.661
04-SMC carrefour - GRD3-C63;146;04/12/2024 00:00;BD;S1-A.2405;823016.115;1091531.63;-123.903
04-SMC carrefour - GRD3-C63;147;07/01/2025 00:00;BG;i_A.2401;823020.783;1091533.792;-123.824
04-SMC carrefour - GRD3-C63;148;07/01/2025 00:00;HG;i_A.2402;823019.793;1091533.313;-121.452
04-SMC carrefour - GRD3-C63;149;07/01/2025 00:00;CH;i_A.2403;823018.434;1091532.655;-120.87
04-SMC carrefour - GRD3-C63;150;07/01/2025 00:00;HD;i_A.2404;823016.284;1091531.542;-122.661
04-SMC carrefour - GRD3-C63;151;07/01/2025 00:00;BD;i_A.2405;823016.115;1091531.632;-123.903
04-SMC carrefour - GRD3-C63;152;09/04/2025 00:00;BG;S1_A.2401;823020.783;1091533.792;-123.825
04-SMC carrefour - GRD3-C63;153;09/04/2025 00:00;HG;S1_A.2402;823019.794;1091533.312;-121.452
04-SMC carrefour - GRD3-C63;154;09/04/2025 00:00;CH;S1_A.2403;823018.435;1091532.655;-120.871
04-SMC carrefour - GRD3-C63;155;09/04/2025 00:00;HD;S1_A.2404;823016.285;1091531.543;-122.662
04-SMC carrefour - GRD3-C63;156;09/04/2025 00:00;BD;S1_A.2405;823016.116;1091531.631;-123.903
04-SMC carrefour - GRD3-C63;157;08/07/2025 00:00;BG;A2401;823020.784;1091533.792;-123.825
04-SMC carrefour - GRD3-C63;158;08/07/2025 00:00;HG;A2402;823019.794;1091533.313;-121.453
04-SMC carrefour - GRD3-C63;159;08/07/2025 00:00;CH;A2403;823018.436;1091532.655;-120.871
04-SMC carrefour - GRD3-C63;160;08/07/2025 00:00;HD;A2404;823016.285;1091531.544;-122.662
04-SMC carrefour - GRD3-C63;161;08/07/2025 00:00;BD;A2405;823016.117;1091531.631;-123.904
;;;;;;;
05-SMC carrefour - GT7-C61;136;05/11/2024 00:00;BG;A.2305;823021.644;1091536.756;-123.097
05-SMC carrefour - GT7-C61;137;05/11/2024 00:00;HG;A.2304;823021.261;1091537.579;-121.63
05-SMC carrefour - GT7-C61;138;05/11/2024 00:00;CH;A.2303;823020.517;1091538.992;-121.321
05-SMC carrefour - GT7-C61;139;05/11/2024 00:00;BD;A.2301;823019.641;1091540.926;-123.339
05-SMC carrefour - GT7-C61;140;04/12/2024 00:00;BG;S1-A.2305;823021.644;1091536.756;-123.097
05-SMC carrefour - GT7-C61;141;04/12/2024 00:00;HG;S1-A.2304;823021.261;1091537.579;-121.631
05-SMC carrefour - GT7-C61;142;04/12/2024 00:00;CH;S1-A.2303;823020.517;1091538.991;-121.321
05-SMC carrefour - GT7-C61;143;04/12/2024 00:00;BD;S1-A.2301;823019.641;1091540.926;-123.339
05-SMC carrefour - GT7-C61;144;07/01/2025 00:00;BG;i_A.2305;823021.644;1091536.757;-123.097
05-SMC carrefour - GT7-C61;145;07/01/2025 00:00;HG;i_A.2304;823021.26;1091537.579;-121.631
05-SMC carrefour - GT7-C61;146;07/01/2025 00:00;CH;i_A.2303;823020.517;1091538.992;-121.321
05-SMC carrefour - GT7-C61;147;07/01/2025 00:00;BD;i_A.2301;823019.641;1091540.926;-123.339
05-SMC carrefour - GT7-C61;148;09/04/2025 00:00;BG;S2_B.2305;823021.646;1091536.756;-123.098
05-SMC carrefour - GT7-C61;149;09/04/2025 00:00;HG;S1_A.2304;823021.261;1091537.579;-121.632
05-SMC carrefour - GT7-C61;150;09/04/2025 00:00;CH;S1_A.2303;823020.518;1091538.992;-121.322
05-SMC carrefour - GT7-C61;151;09/04/2025 00:00;BD;S1_A.2301;823019.642;1091540.926;-123.339
05-SMC carrefour - GT7-C61;152;08/07/2025 00:00;BG;A2305;823021.643;1091536.757;-123.098
05-SMC carrefour - GT7-C61;153;08/07/2025 00:00;HG;A2304;823021.261;1091537.579;-121.632
05-SMC carrefour - GT7-C61;154;08/07/2025 00:00;CH;A2303;823020.517;1091538.992;-121.323
05-SMC carrefour - GT7-C61;155;08/07/2025 00:00;BD;A2301;823019.642;1091540.926;-123.34
;;;;;;;
06-SMC GTB 004;240;10/03/2025 00:00;BD;GTB.S0045;823010.92;1091537.033;-124.573
06-SMC GTB 004;241;09/04/2025 00:00;BG;S1_S0041;823012.923;1091532.5;-124.659
06-SMC GTB 004;242;09/04/2025 00:00;HG;S1_S0042;823012.774;1091532.563;-121.936
06-SMC GTB 004;243;09/04/2025 00:00;CH;S1_S0043;823011.978;1091534.524;-120.79
06-SMC GTB 004;244;09/04/2025 00:00;HD;S1_S0044;823010.753;1091536.78;-122.043
06-SMC GTB 004;245;09/04/2025 00:00;BD;S1_S0045;823010.919;1091537.033;-124.573
06-SMC GTB 004;246;23/05/2025 00:00;BG;S031;823012.922;1091532.5;-124.659
06-SMC GTB 004;247;23/05/2025 00:00;HG;S032;823012.773;1091532.563;-121.937
06-SMC GTB 004;248;23/05/2025 00:00;CH;S033;823011.978;1091534.524;-120.791
06-SMC GTB 004;249;23/05/2025 00:00;HD;S034;823010.754;1091536.78;-122.044
06-SMC GTB 004;250;23/05/2025 00:00;BD;S035;823010.917;1091537.033;-124.573
06-SMC GTB 004;251;05/06/2025 00:00;BG;GTB.S041;823012.963;1091532.523;-124.657
06-SMC GTB 004;252;05/06/2025 00:00;HG;GTB.S042;823012.774;1091532.563;-121.936
06-SMC GTB 004;253;05/06/2025 00:00;CH;GTB.S043;823011.981;1091534.524;-120.79
06-SMC GTB 004;254;05/06/2025 00:00;HD;GTB.S044;823010.755;1091536.78;-122.043
06-SMC GTB 004;255;05/06/2025 00:00;BD;GTB.S045;823010.92;1091537.033;-124.572
06-SMC GTB 004;256;08/07/2025 00:00;BG;S0041;823012.963;1091532.523;-124.657
06-SMC GTB 004;257;08/07/2025 00:00;CH;S0043;823011.982;1091534.522;-120.791
06-SMC GTB 004;258;08/07/2025 00:00;HD;S0044;823010.755;1091536.779;-122.043
06-SMC GTB 004;259;08/07/2025 00:00;BD;S0045;823010.92;1091537.033;-124.572
;;;;;;;
07-SMC GTB 009;196;23/04/2025 00:00;BG;S0071;823008.463;1091530.231;-124.367
07-SMC GTB 009;197;23/04/2025 00:00;HG;S0072;823008.353;1091530.482;-122.096
07-SMC GTB 009;198;23/04/2025 00:00;CH;S0073;823007.434;1091532.291;-120.714
07-SMC GTB 009;199;23/04/2025 00:00;HD;S0074;823006.302;1091534.788;-122.1
07-SMC GTB 009;200;23/04/2025 00:00;BD;S0075;823006.264;1091535.036;-124.326
07-SMC GTB 009;201;23/05/2025 00:00;BG;S071;823008.464;1091530.23;-124.367
07-SMC GTB 009;202;23/05/2025 00:00;HG;S072;823008.353;1091530.48;-122.096
07-SMC GTB 009;203;23/05/2025 00:00;CH;S073;823007.436;1091532.291;-120.715
07-SMC GTB 009;204;23/05/2025 00:00;HD;S074;823006.302;1091534.788;-122.1
