#Nom du point;Est ;Nord;Hauteur;PM Tunnel;PM 3D;Coordonnée X/L;Coordonnée Y/H ;Valeur de déviation;Remarque;
;823107.465694;1091341.64917;-115.350150071;267.45;267.458299742;0;4.40378010198;0.543780101978;
;823107.362778;1091341.60098;-115.368396881;267.45;267.458299742;0.11364025319;4.38553237886;0.527004485197;
;823107.31164;1091341.57702;-115.378570836;267.45;267.458299743;0.170112500075;4.37535791557;0.51866362627;
;823107.209769;1091341.52931;-115.396699217;267.45;267.458299742;0.282599180852;4.35722862803;0.506383356277;
;823107.159179;1091341.5056;-115.407724337;267.45;267.458299742;0.338469569773;4.34620295682;0.49936254417;
;823107.107952;1091341.48169;-115.409575235;267.45;267.458299742;0.395001044426;4.34435196602;0.502272324119;
;823107.006;1091341.43404;-115.420089529;267.45;267.458299742;0.50754149472;4.33383714678;0.503455372025;
;823106.955609;1091341.41043;-115.430444187;267.45;267.458299743;0.563189970558;4.32348197096;0.500009093589;
;823106.905507;1091341.38693;-115.442400113;267.45;267.458299743;0.618528105075;4.31152544704;0.495666274776;
;823106.805038;1091341.33985;-115.462967699;267.45;267.458299743;0.72947866681;4.29095683271;0.492522218838;
;823106.755264;1091341.3165;-115.475725889;267.45;267.458299742;0.784457357337;4.27819800493;0.489523136491;
;823106.648086;1091341.26669;-115.46118467;267.45;267.458299743;0.902648369786;4.29273995069;0.526614909443;
;823106.605293;1091341.2462;-115.509362427;267.45;267.458299742;0.950089738124;4.24455978538;0.48959288694;
;823106.557477;1091341.22367;-115.5306233;267.45;267.458299743;1.00294767273;4.22329784933;0.480754399687;
;823106.461523;1091341.1785;-115.569371878;267.45;267.458299742;1.10900189865;4.18454733398;0.469009309477;
;823106.413742;1091341.156;-115.588743832;267.45;267.458299743;1.16181233782;4.16517441096;0.464174578117;
;823106.365537;1091341.13333;-115.606136619;267.45;267.458299742;1.21508188938;4.1477807545;0.46209546231;
;823106.274962;1091341.0905;-115.660305048;267.45;267.458299742;1.31527263578;4.09360961744;0.439718805512;
;823106.22778;1091341.06828;-115.679957871;267.45;267.458299743;1.36742369226;4.07395581151;0.437320503327;
;823106.132026;1091341.02325;-115.714706992;267.45;267.458299742;1.47323915849;4.03920495349;0.439489536495;
;823106.086083;1091341.00157;-115.737807666;267.45;267.458299743;1.52403887978;4.01610312459;0.435553376975;
;823106.038278;1091340.97908;-115.755509195;267.45;267.458299742;1.57686842486;3.9984007101;0.438106823693;
;823105.933562;1091340.93011;-115.768128182;267.45;267.458299743;1.69246901417;3.98578109256;0.470231204186;
;823105.888356;1091340.90875;-115.793764614;267.45;267.458299742;1.74246732846;3.96014337864;0.466537642284;
;823105.844475;1091340.88797;-115.82236941;267.45;267.458299743;1.79101852727;3.93153715201;0.46026986919;
;823105.754546;1091340.84547;-115.873724925;267.45;267.458299742;1.8904837465;3.88017906931;0.4562157506;
;823105.7102;1091340.8245;-115.900614218;267.45;267.458299742;1.93953934111;3.85328843148;0.453889728758;
;823105.622534;1091340.783;-115.956203714;267.45;267.458299743;2.03652748455;3.79769615624;0.449285357275;
;823105.574573;1091340.76042;-115.975687082;267.45;267.458299743;2.08953758577;3.77821181434;0.457528440713;
;823105.528468;1091340.73866;-115.999181249;267.45;267.458299743;2.14051765515;3.75471647269;0.462003195544;
;823105.443516;1091340.69838;-116.060060169;267.45;267.458299742;2.23453569767;3.69383450917;0.457124409285;
;823105.400569;1091340.67803;-116.08952902;267.45;267.458299743;2.28205967487;3.66436418444;0.456869379065;
;823105.356453;1091340.65715;-116.117004562;267.45;267.458299742;2.33086451599;3.63688726888;0.459708138108;
;823105.269161;1091340.61582;-116.173947062;267.45;267.458299742;2.42744702317;3.57994192121;0.465330416228;
