H;V;PM
3.589;1.072;53.001
3.239;3.435;52.618
3.590;2.072;53.005
3.592;1.272;53.007
3.471;2.615;52.883
3.222;-0.065;52.609
3.353;0.174;52.760
3.354;0.333;52.766
3.279;-0.011;52.685
3.351;0.235;52.767
3.357;0.435;52.776
3.204;3.520;52.610
3.237;3.362;52.651
3.491;2.455;52.935
3.492;0.753;52.935
3.374;2.797;52.816
3.370;0.533;52.814
3.422;2.667;52.876
3.500;2.374;52.963
3.497;0.825;52.965
3.508;1.632;52.987
3.513;0.971;52.993
3.508;1.466;52.989
3.514;0.998;53.001
3.513;1.484;53.002
3.517;1.030;53.007
3.216;3.356;52.672
3.384;2.728;52.861
3.517;1.732;53.012
3.543;2.132;53.045
3.258;0.053;52.720
3.264;3.084;52.732
3.525;1.272;53.029
3.519;1.132;53.022
3.277;2.987;52.752
3.397;0.657;52.886
3.525;2.033;53.039
3.469;0.849;52.979
3.506;2.230;53.029
3.278;0.118;52.767
3.212;3.294;52.696
3.495;2.252;53.026
3.410;0.730;52.926
3.289;0.291;52.788
3.286;0.179;52.786
3.414;2.572;52.942
3.323;2.864;52.844
3.297;0.474;52.812
3.294;2.928;52.815
3.430;0.793;52.970
3.164;3.490;52.668
3.199;3.274;52.708
3.170;-0.048;52.676
3.419;2.472;52.981
3.445;1.673;53.015
3.448;2.367;53.025
3.442;1.018;53.017
3.126;3.568;52.655
3.251;2.979;52.804
3.455;1.741;53.040
3.188;0.014;52.729
3.448;1.132;53.034
3.430;0.973;53.013
3.357;0.699;52.930
3.454;1.269;53.045
3.194;0.042;52.742
3.459;1.831;53.055
3.459;1.931;53.056
3.334;2.710;52.922
3.474;2.097;53.092
3.474;2.130;53.095
3.217;0.157;52.800
3.349;2.636;52.960
3.216;0.274;52.812
3.092;3.580;52.670
3.357;2.572;52.983
3.361;0.845;52.993
3.365;2.473;53.008
3.234;0.521;52.851
3.103;3.526;52.700
3.365;0.931;53.009
3.052;-0.099;52.641
3.028;3.725;52.617
3.057;3.644;52.653
3.376;1.632;53.034
3.246;2.933;52.884
3.377;1.130;53.042
3.250;0.591;52.890
3.121;3.436;52.740
3.114;-0.021;52.729
3.381;1.529;53.051
3.359;1.031;53.027
3.171;3.166;52.808
3.261;2.833;52.916
3.384;1.232;53.062
2.988;-0.142;52.591
3.388;1.378;53.074
3.259;0.669;52.919
3.125;3.335;52.764
3.390;1.773;53.081
3.153;3.196;52.799
3.398;1.930;53.094
3.393;1.831;53.088
3.372;1.481;53.067
3.415;2.038;53.121
3.270;2.761;52.949
3.279;0.734;52.963
3.407;2.171;53.124
3.279;2.693;52.972
2.982;3.775;52.616
3.150;0.375;52.826
3.146;0.234;52.821
3.217;2.856;52.914
3.288;2.595;53.001
3.013;-0.096;52.666
3.291;2.586;53.008
3.153;0.435;52.843
3.174;3.041;52.872
3.297;0.892;53.021
3.021;3.628;52.692
3.032;3.584;52.708
3.299;0.975;53.033
3.054;-0.046;52.732
3.306;2.471;53.049
3.175;0.559;52.888
3.138;3.100;52.853
3.312;1.672;53.065
3.313;1.176;53.066
3.313;1.571;53.069
3.183;2.972;52.920
2.906;-0.166;52.577
3.051;3.478;52.761
3.322;1.733;53.094
3.322;1.331;53.095
3.191;0.626;52.936
3.307;1.233;53.084
3.251;0.873;53.015
3.221;0.772;52.978
3.334;1.831;53.124
3.311;2.376;53.100
3.338;1.973;53.133
2.926;3.815;52.628
3.342;2.230;53.146
3.340;1.999;53.143
3.066;0.093;52.802
3.060;3.413;52.800
3.339;2.029;53.149
3.211;2.729;52.996
2.941;3.741;52.665
3.218;2.640;53.015
3.191;2.827;52.990
2.949;-0.094;52.684
3.226;0.929;53.038
3.282;1.770;53.111
3.063;0.278;52.837
3.234;1.030;53.054
3.229;2.568;53.051
3.174;2.873;52.987
3.244;1.212;53.079
3.094;0.529;52.891
3.242;2.489;53.084
3.250;1.674;53.103
3.109;0.602;52.923
3.061;3.275;52.870
3.252;1.510;53.110
3.251;1.372;53.109
2.977;-0.007;52.762
3.035;3.360;52.840
3.125;0.672;52.962
3.266;2.330;53.146
3.273;1.931;53.164
3.278;2.174;53.173
2.967;3.574;52.778
3.100;3.112;52.952
3.280;2.070;53.185
3.140;0.832;53.009
3.000;0.138;52.829
2.976;0.058;52.797
2.855;-0.147;52.642
3.006;0.235;52.838
3.203;1.271;53.095
3.008;3.375;52.848
2.870;3.782;52.677
3.013;0.376;52.859
3.208;1.371;53.114
3.154;0.909;53.046
3.015;0.431;52.872
3.156;0.939;53.060
3.018;3.333;52.885
2.884;3.715;52.717
3.083;3.054;52.974
3.026;0.493;52.898
2.883;-0.098;52.716
3.037;3.232;52.922
3.176;2.539;53.103
3.152;2.624;53.079
2.931;3.553;52.795
3.184;2.476;53.127
3.183;1.470;53.127
3.028;0.565;52.926
3.190;1.730;53.141
3.190;1.635;53.140
3.188;1.575;53.138
2.798;3.903;52.636
3.050;0.636;52.964
2.964;0.362;52.854
2.912;0.038;52.789
3.206;2.295;53.179
2.889;-0.027;52.761
3.205;1.910;53.180
3.195;1.828;53.167
2.951;0.276;52.849
3.209;1.934;53.196
3.207;1.875;53.192
3.205;2.289;53.195
2.912;0.132;52.806
2.773;-0.167;52.623
2.777;3.932;52.633
2.995;3.299;52.923
3.066;3.055;53.017
3.082;0.873;53.046
3.077;2.871;53.050
2.947;3.438;52.883
3.086;2.775;53.067
3.091;0.971;53.071
3.027;0.747;52.994
2.952;0.457;52.896
2.921;3.525;52.859
2.803;-0.124;52.701
3.100;1.230;53.108
3.108;2.584;53.124
3.083;1.131;53.091
3.120;2.510;53.148
3.110;1.430;53.134
2.825;-0.062;52.749
3.143;2.434;53.184
3.119;1.572;53.151
3.117;1.479;53.148
3.027;0.831;53.026
2.970;0.631;52.959
2.831;3.688;52.778
2.977;0.653;52.972
2.833;0.134;52.785
3.133;1.887;53.194
2.842;0.100;52.799
3.136;2.332;53.204
2.845;0.193;52.816
2.970;3.284;52.993
2.815;0.073;52.782
3.142;2.072;53.232
2.847;3.627;52.834
2.720;3.945;52.665
2.771;3.777;52.734
2.866;3.560;52.872
3.014;2.930;53.075
3.015;2.884;53.078
2.861;0.333;52.866
3.023;2.794;53.096
3.030;1.173;53.107
2.726;-0.153;52.688
2.874;0.428;52.898
2.979;3.133;53.052
2.684;4.028;52.655
2.742;3.795;52.740
3.046;1.483;53.159
2.754;0.010;52.755
2.716;3.876;52.710
3.026;1.375;53.149
3.064;2.480;53.207
2.902;0.686;52.979
3.044;1.562;53.181
2.977;1.051;53.088
2.931;3.289;53.027
2.724;-0.067;52.736
2.911;0.787;53.000
2.756;3.730;52.790
3.080;2.171;53.244
3.077;2.030;53.242
3.074;1.989;53.238
3.074;2.369;53.241
3.050;1.931;53.217
2.781;0.240;52.840
2.754;0.174;52.804
2.937;0.996;53.065
2.716;-0.025;52.753
2.939;3.170;53.071
2.837;0.488;52.926
2.948;1.170;53.108
2.982;2.686;53.159
2.960;1.250;53.129
2.877;0.872;53.021
2.770;0.331;52.868
2.655;-0.127;52.704
2.632;-0.196;52.670
2.966;2.730;53.153
2.659;-0.117;52.713
2.972;1.478;53.169
2.792;3.573;52.918
2.982;1.784;53.193
2.870;0.932;53.033
