H;V;PM
4.802996;0.559257;37.169254
4.715793;1.141073;37.138135
4.610977;1.510063;37.090289
4.781696;0.695181;37.179312
4.747837;0.908796;37.173603
4.814619;0.276896;37.206143
4.749714;0.885422;37.182146
4.810508;0.394976;37.211504
4.645338;1.365402;37.145369
4.759679;0.814518;37.190904
4.735504;0.906862;37.196036
4.559407;1.585014;37.122348
4.583866;1.508824;37.136605
4.784846;0.536657;37.233172
4.762218;0.130711;37.225457
4.727846;0.858363;37.217838
4.684219;1.097984;37.195399
4.580092;1.487811;37.147675
4.619508;1.354848;37.166098
4.768128;0.642700;37.236196
4.651378;1.233499;37.184025
4.607052;1.395981;37.162070
4.692379;1.024428;37.209990
4.724173;0.834943;37.233329
4.767687;0.550631;37.251813
4.586682;1.413823;37.171356
4.576220;1.434559;37.171283
4.497626;1.659575;37.137675
4.727466;0.808635;37.240940
4.791872;0.368431;37.271831
4.716868;0.120462;37.248423
4.442934;1.768856;37.127034
4.789992;0.254591;37.284596
4.735866;0.694432;37.264984
4.772586;0.217678;37.286480
4.714945;0.792706;37.259020
4.712525;0.764092;37.263059
4.480400;1.609784;37.160809
4.685782;0.850629;37.260252
4.603125;1.173974;37.224598
4.669468;0.101926;37.263634
4.694460;0.788405;37.277114
4.461010;1.612585;37.170116
4.319436;1.990146;37.105936
4.241982;2.149685;37.069160
4.326822;1.952286;37.111238
4.514422;1.424337;37.197894
4.147901;2.248954;37.032308
4.265032;2.095475;37.091514
4.363566;1.853809;37.139774
4.694747;0.643772;37.301719
4.550790;1.194351;37.234151
4.622880;0.988775;37.267109
4.332327;1.885230;37.138361
4.356096;1.750664;37.158610
4.502847;1.268445;37.225346
4.633085;0.828325;37.293637
4.695968;0.194574;37.323315
4.429744;1.494824;37.203924
4.380395;1.612630;37.188012
4.471608;1.331694;37.225812
4.063850;2.440691;37.037301
4.042140;2.496874;37.039142
4.156334;2.167011;37.092464
4.099534;2.259679;37.070263
4.294548;1.848486;37.160536
4.520033;1.111627;37.265276
4.046634;2.582972;37.045122
4.066207;2.372321;37.054462
4.044500;2.554574;37.045746
4.043195;2.636172;37.047395
4.078746;2.334433;37.058700
4.603689;0.807948;37.309648
4.047424;2.621973;37.053076
4.065961;2.352130;37.057776
4.547447;0.951123;37.291972
4.673419;0.265324;37.355987
4.630992;0.571622;37.332220
4.359299;1.537088;37.206543
4.559535;0.893951;37.299424
4.659490;0.389901;37.348484
4.341659;1.602034;37.201463
4.361526;1.508088;37.211436
4.021901;2.669565;37.053089
4.022101;2.632562;37.062337
4.418458;1.317938;37.239547
4.203665;2.007075;37.140112
4.028794;2.565375;37.065006
4.614382;0.132252;37.331859
4.209260;1.977322;37.144232
4.641062;0.193895;37.342650
4.047588;2.338997;37.074796
4.025403;2.586368;37.069514
4.445982;1.195504;37.257894
4.637192;0.444132;37.349380
4.002846;2.701343;37.054862
4.265548;1.811247;37.178821
4.149086;2.121484;37.125652
4.511137;0.991446;37.295018
4.607645;0.526401;37.339757
4.373080;1.430208;37.230265
4.286521;1.719023;37.189771
4.628468;0.476751;37.349435
4.514136;0.938316;37.299336
4.597065;0.586897;37.338981
4.378758;1.401958;37.236390
4.060431;2.257534;37.093132
4.301829;1.610043;37.203031
3.987254;2.733242;37.059535
4.570142;0.656437;37.332709
4.520140;0.878112;37.310284
4.207395;1.909242;37.164105
4.062468;2.212597;37.106606
4.621177;0.209786;37.363017
4.007785;2.452433;37.076873
3.979714;2.670352;37.076967
4.537773;0.733390;37.325023
3.972904;2.751954;37.065268
4.203253;1.886283;37.171530
4.443780;1.102017;37.286404
4.395861;1.232306;37.266653
4.539367;0.065574;37.332539
4.600480;0.389591;37.365413
3.913181;2.872298;37.048940
4.533256;0.613603;37.343749
4.350365;1.312776;37.261955
4.266234;1.571611;37.223482
3.902580;2.872938;37.060340
4.558750;0.436272;37.367850
4.130525;1.968767;37.170135
3.950492;2.680088;37.085814
