source_file,sheet,galerie,section,month,metric,periodic_mm,cumulative_mm,date_last_in_month,date_last_before_month,date_last_cumulative,nb_dates_in_month,nb_dates_before_month
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Convergences,GGS,C020,2025-08,LH,,-19.88,,2025-07-29,2025-07-29,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Convergences,GGS,C020,2025-08,LI,-1.3,-28.25,2025-08-25,2025-07-29,2025-08-25,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_106-GGS_SMC_C020_PM005_25_08_25.xlsm,Convergences,GGS,C020,2025-08,LB,,0.0,,2025-04-04,2025-04-04,2,23
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Convergences,GGS,C031,2025-08,BG,,0.0,,2025-06-25,2025-06-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Convergences,GGS,C031,2025-08,IG,-4.11,-15.66,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Convergences,GGS,C031,2025-08,HG,-1.87,-4.59,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Convergences,GGS,C031,2025-08,HD,-2.57,-8.02,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Convergences,GGS,C031,2025-08,ID,-2.8,-11.25,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Convergences,GGS,C031,2025-08,BD,,0.0,,2025-06-25,2025-06-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Convergences,GGS,C031,2025-08,LH,-3.96,-11.43,2025-08-25,2025-07-29,2025-08-25,2,12
C:\data\11-CHANTIERS\BURE\10-ACTIVITES\Rapports d'activité\2025\250901-rapport mensuel aout\1-tableaux\GGS\03_107-GGS_SMC_C031_PM024_25_08_25.xlsm,Convergences,GGS,C031,2025-08,LI,-8.93,-32.76,2025-08-25,2025-07-29,2025-08-25,2,12
